rt50	type_label_modal	type_labels	loci	exact_rt	rt90	loci_per_rt90	genomes	species	genera	phyla	sources	matched_local	matched_t1	unmatched_adequate	unmatched_limited	rt90_matched_s12	rt90_unmatched_s12	rt90_unmatched_s3	cm_models	padloc_xii_loci	DENOVO_FEASIBLE_S12	DENOVO_FEASIBLE_S3
1856a157901bd82847d93547b51c07c592cb795228f6927d7c597ba1147d993d	XI	XI	205	65	13	15.8	205	60	9	3	mgnify_marine|ncbi_bacteria|gtdb_bacteria|mgnify_human_gut	0	0	164	41	0	0	12		0.0	False	True
1639c7ff6145418236a99efaaba1963d8cdec9a947d6eaa3bdee718da16a2130	VI	UNLABELLED|VI	198	46	12	16.5	198	30	3	2	gtdb_bacteria|ncbi_bacteria|mgnify_soil	0	0	197	1	0	11	0		0.0	True	False
184daa22109ed7a671b1380f2abb02c118c3ff7af721d9822e3446ec72be71b0	III-A	UNLABELLED|III-A	67	30	11	6.1	66	25	16	3	gtdb_bacteria|mgnify_human_gut|ncbi_bacteria	0	0	64	3	0	11	0		0.0	True	False
fb2a4c589094ca0c7041749aa4527e3a579d83cec607c74f82870d4f59592f0b	VI	UNLABELLED|VI	14	11	11	1.3	14	9	7	2	ncbi_bacteria|gtdb_bacteria|gem	0	0	14	0	0	8	0		0.0	True	False
00faff54b68c6e6763abc0925ce6996f4e56f1864dd0931e7732c3cd2d5649c6	UNLABELLED	UNLABELLED|V	22	12	11	2.0	22	17	11	2	ncbi_bacteria|gtdb_bacteria	0	0	22	0	0	6	0		0.0	True	False
5ea2eccf6ad3da8151ae06664b7a9bb3322f5bd78f42ee888ca3e6c092fc7d75	III-A	III-A	70	29	12	5.8	69	41	27	5	gtdb_bacteria|mgnify_human_gut|gem|ncbi_bacteria	0	0	62	8	0	11	0		0.0	True	False
1ff6723ccc0a525caa85bcae4b60c6df8e51964ee6a34a4bcd0a433c0f988eea	VI	VI	36	11	11	3.3	36	16	13	2	mgnify_marine|gtdb_bacteria|ncbi_bacteria	0	0	34	2	0	11	0		0.0	True	False
afd8ec129bf692183006bef2fd5010fbdfb5b7225c462a8060a7281831769108	VI	UNLABELLED|VI	119	25	11	10.8	119	17	11	2	gtdb_bacteria|ncbi_bacteria|mgnify_marine	0	0	85	34	0	10	0		0.0	True	False
375d87d808af197bd7089dfee6aa34442e8905d958908825bf0996fb4e20cf5d	XII	UNLABELLED|XII	32	28	11	2.9	32	17	13	2	ncbi_bacteria|gem|gtdb_bacteria	0	0	30	2	0	0	7		0.0	False	True
0dda890bfd7aa5720627fa80aeba73c0cc28be5ebcd230afc1b8f0bf161f47d2	VI	UNLABELLED|VI	15	11	11	1.4	15	13	9	3	ncbi_bacteria|mgnify_soil|gem|gtdb_bacteria	0	0	15	0	0	10	0		0.0	True	False
