component_id	n_pairs	n_tok	n_distinct_rt	n_distinct_ncrna	n_retron_types	n_rt_homolog_groups	cv_fold	dominant_retron_type	any_T4	any_T3	in_sensitivity_population	mean_nearest_train_rt_cosine	relatedness_stratum	nll_per_nt_U	nll_per_nt_T	nll_per_nt_G	nll_per_nt_R	nll_per_nt_P	delta_R_minus_T	delta_R_minus_G	delta_R_minus_P	delta_P_minus_T	delta_logP_C1	n_pairs_C1	delta_logP_C2	n_pairs_C2	delta_logP_C3	n_pairs_C3	delta_logP_C4	n_pairs_C4
CMP00082	24	4466	24	9	1	7	1	Ec107_like	1	1	1	0.981252	Q1	1.423782	1.404429	1.383892	1.381378	1.387834	-0.023051	-0.002514	-0.006456	-0.016595	0.040182	24	-0.000541	17	0.00687	24	6.2e-05	18
CMP00083	24	2934	24	16	7	3	4	OutgroupA	0	0	0	0.968529	Q1	1.398446	1.445838	1.429751	1.394721	1.448803	-0.051117	-0.03503	-0.054082	0.002965	0.054819	22	0.065848	17	-0.000452	24	-0.001526	23
CMP00084	24	2045	24	3	1	2	1	TypeIV	0	0	0	0.992316	Q4	1.438541	1.408932	1.416856	1.422189	1.401075	0.013257	0.005333	0.021114	-0.007857	0.004275	3	0.006934	3	-0.01126	24	-0.011715	19
CMP00085	23	3844	22	23	1	4	2	TypeIA_IIAI	0	0	0	0.988467	Q3	1.417387	1.37504	1.388594	1.382567	1.404598	0.007527	-0.006027	-0.022031	0.029558	0.014609	23	0.011415	23	0.002246	23	0.002606	23
CMP00086	23	4262	23	15	1	2	3	Ec107_like	1	1	0	0.984756	Q3	1.395366	1.356274	1.34313	1.307485	1.400883	-0.048789	-0.035645	-0.093398	0.044609	0.039208	23	0.048649	21	0.000297	23	0.003595	21
CMP00087	23	3316	21	17	1	3	4	TypeIA_IIAI	1	1	0	0.989653	Q3	1.376096	1.33525	1.29553	1.256749	1.317476	-0.078501	-0.038781	-0.060727	-0.017774	0.031189	23	0.030794	19	-0.00118	23	-0.002841	22
CMP00088	22	3965	22	21	1	3	1	TypeIA_IIAI	1	1	1	0.988123	Q3	1.412204	1.395847	1.363964	1.372555	1.400027	-0.023292	0.008591	-0.027472	0.00418	0.009098	22	0.003973	20	0.000343	22	0.001202	20
CMP00089	22	5590	22	17	1	9	2	TypeIIIA3	1	1	0	0.98819	Q4	1.423241	1.363877	1.373418	1.376877	1.381377	0.013	0.003459	-0.0045	0.0175	0.008608	22	0.008392	20	-0.0015	22	0.00041	15
CMP00090	20	4040	18	8	1	2	3	TypeIB2	1	1	0	0.99177	Q4	1.421987	1.395169	1.399659	1.455871	1.504065	0.060702	0.056212	-0.048194	0.108896	0.027561	20	0.01887	20	-0.004143	20	-0.000494	20
CMP00091	20	2611	20	17	1	1	3	OutgroupA	1	1	0	0.983146	Q1	1.386225	1.375748	1.349934	1.341306	1.435981	-0.034442	-0.008628	-0.094675	0.060233	0.022542	20	0.029899	20	0.002198	20	0.003441	20
CMP00092	20	2503	20	19	1	2	1	TypeIC1_IC2	1	1	0	0.993828	Q4	1.344858	1.302877	1.220577	1.202625	1.307108	-0.100252	-0.017952	-0.104483	0.004231	0.027412	20	0.022467	16	0.001863	20	-0.001057	20
CMP00093	20	5393	20	18	1	3	2	TypeIIIA3	1	1	0	0.991759	Q4	1.412839	1.359194	1.366388	1.368544	1.373146	0.00935	0.002156	-0.004602	0.013952	0.009871	20	0.007516	20	0.000409	20	0.000795	20
CMP00094	20	2193	20	15	1	4	4	OutgroupA	1	1	0	0.988272	Q3	1.420867	1.427965	1.353464	1.402732	1.382666	-0.025233	0.049268	0.020066	-0.045299	0.044297	20	0.039398	17	-0.005691	20	0.00522	17
CMP00095	19	2523	19	18	2	2	3	OutgroupA	1	1	1	0.987263	Q3	1.328125	1.312993	1.279285	1.266923	1.346896	-0.04607	-0.012362	-0.079973	0.033903	-0.000699	18	0.001609	17	-0.007458	19	0.005751	18
CMP00096	19	3574	19	19	1	2	1	TypeIA_IIAI	0	0	0	0.990113	Q3	1.409669	1.391794	1.362158	1.378712	1.391978	-0.013082	0.016554	-0.013266	0.000184	0.008447	19	0.00165	18	0.003384	19	0.001921	18
CMP00097	18	2490	17	13	1	3	2	TypeIB1	1	1	0	0.995121	Q4	1.438619	1.33513	1.37948	1.381132	1.363039	0.046002	0.001652	0.018093	0.027909	0.0174	18	0.016453	16	-0.000981	18	-0.002127	15
CMP00098	18	2772	17	4	1	2	4	TypeIA_IIAI	0	0	0	0.991539	Q4	1.417382	1.13968	1.242172	1.163372	1.205136	0.023692	-0.0788	-0.041764	0.065456	0.069769	18	0.065359	17	0.01554	18	0.002053	17
